brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,clean_title,price,Accident_Occured,Engine_Capacity,Horse_Power
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,6-Speed A/T,Black,Black,Yes,10300.0,YES,3.7,300.0
Hyundai,Palisade SEL,2021,34742.0,Gasoline,8-Speed Automatic,Moonlight Cloud,Gray,Yes,38005.0,YES,3.8,385.96041866034466
Lexus,RX 350 RX 350,2022,22372.0,Gasoline,Automatic,Blue,Black,unknown,54598.0,NO,3.5,392.1816789914883
INFINITI,Q50 Hybrid Sport,2015,88900.0,Hybrid,7-Speed A/T,Black,Black,Yes,15500.0,NO,3.5,354.0
Audi,Q3 45 S line Premium Plus,2021,9835.0,Gasoline,8-Speed Automatic,Glacier White Metallic,Black,unknown,34999.0,NO,2.0,334.1690771784761
Acura,ILX 2.4L,2016,136397.0,Gasoline,F,Silver,Ebony.,unknown,14798.0,NO,3.5,294.3971345423397
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,6-Speed A/T,Blue,Black,Yes,31000.0,NO,2.0,292.0
BMW,740 iL,2001,242000.0,Gasoline,A/T,Green,Green,Yes,7300.0,NO,4.4,282.0
Lexus,RC 350 F Sport,2021,23436.0,Gasoline,6-Speed A/T,Black,Black,Yes,41927.0,NO,3.5,311.0
Tesla,Model X Long Range Plus,2020,34000.0,Electric,A/T,Black,Black,Yes,69950.0,NO,0.0,534.0
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,Gasoline,Automatic,Fuji White,Pimento / Ebony,unknown,73897.0,NO,3.5,392.7160505389311
Aston,Martin DBS Superleggera,2019,22770.0,Gasoline,8-Speed A/T,Silver,Black,Yes,184606.0,NO,5.2,715.0
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,A/T,Yellow,Black,Yes,53500.0,NO,3.0,382.0
Lincoln,Aviator Reserve AWD,2022,18196.0,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,Yes,62000.0,NO,3.0,400.0
Jaguar,F-TYPE,2020,15903.0,Gasoline,Automatic,Silver,Black,unknown,47998.0,NO,3.5,384.62525412854666
Land,Rover LR4 HSE,2013,79800.0,Gasoline,A/T,White,Black,Yes,29990.0,NO,5.0,375.0
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,9-Speed Automatic,Gray,White,Yes,250000.0,NO,2.0,414.59399192460296
Dodge,Challenger SXT,2013,61074.0,Gasoline,A/T,Black,Gray,Yes,16800.0,NO,3.6,305.0
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,6-Speed M/T,Purple,–,Yes,11000.0,NO,3.5,287.0
Jaguar,F-TYPE R,2018,35250.0,Gasoline,8-Speed A/T,Green,Black,Yes,68750.0,NO,5.0,550.0
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,8-Speed A/T,Green,Beige,unknown,60000.0,YES,3.5,375.0
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,A/T,Blue,Black,Yes,4500.0,NO,2.2,120.0
BMW,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,Automatic,White,Beige,unknown,38598.0,NO,3.5,377.2630429630699
Ford,F-150 XLT,2023,2823.0,Gasoline,Automatic,Iconic Silver Metallic,Black,Yes,58504.0,NO,3.5,408.4310484132293
Chevrolet,Suburban RST,2021,52000.0,Gasoline,10-Speed A/T,Blue,Black,Yes,61000.0,NO,5.3,355.0
Hyundai,Elantra N Base,2022,11650.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,32300.0,NO,2.0,276.0
Nissan,Sentra SR,2016,96541.0,Gasoline,Automatic,Blue,Black,unknown,13998.0,NO,3.5,313.9668661783944
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,A/T,Gray,Black,Yes,59995.0,NO,2.0,382.0
BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,8-Speed A/T,Gray,Black,Yes,25700.0,NO,4.4,445.0
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,8-Speed Automatic,Mythos Black Metallic,Black,Yes,21375.0,NO,2.0,275.4513657052885
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,9-Speed A/T,Silver,Black,Yes,48000.0,NO,3.0,362.0
Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,A/T,Silver,Gray,Yes,10900.0,YES,5.7,345.0
BMW,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,Automatic,Black,Black,unknown,24998.0,NO,3.5,367.9965000061893
Kia,Sorento SX,2011,171000.0,Gasoline,A/T,Black,Black,Yes,5999.0,NO,3.5,276.0
Lexus,LX 570 Base,2016,118700.0,Gasoline,8-Speed A/T,Black,Beige,Yes,46900.0,NO,5.7,383.0
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,A/T,Red,Black,Yes,15900.0,NO,2.4,180.0
BMW,340 i,2018,44261.0,Gasoline,Automatic,Gray,Black,unknown,33598.0,NO,3.5,357.35889943505754
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,8-Speed A/T,Silver,Black,Yes,8999.0,NO,2.0,211.0
Hyundai,Tucson SE,2007,16200.0,Gasoline,A/T,Gold,Beige,Yes,8200.0,NO,2.7,173.0
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,A/T,White,Beige,Yes,20000.0,YES,2.0,240.0
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,6-Speed A/T,Black,Black,Yes,79950.0,NO,6.0,552.0
Honda,Passport Elite,2023,2978.0,Gasoline,Automatic,Lunar Silver Metallic,Gray,unknown,45498.0,NO,3.5,402.91287950035985
